152,1162,2115,1014,162,성북22,성북20,143,104,171,109,151,1113,1164,1114,110B,7211,1213,153,110A,121,1115,1128,101,144
수유중학교혜화여고(09211),구민회관입구(08367),중랑공영차고지.신내역(07418),성북생태체험관(08258),정릉산장아파트(08161),세계문화유산정릉(08846),고려대역3번출구(06591),정릉산장아파트(08161),강북청소년수련관(09194),북악중학교(08113),우이동도선사입구(09102),우이동도선사입구(09102),정릉산장아파트(08161),서경대본관(08372),성북생태체험관(08258),정릉북한산국립공원입구(08160),진관공영차고지(12469),용마문화복지센터(07195),우이동도선사입구(09102),정릉북한산국립공원입구(08160),화계사입구.종점(09291),수유중학교혜화여고(09211),도봉산입구(10153),우이동도선사입구(09102),우이동차고지기점(09289)
서울정인학교(09213),508단지장터앞(08355),중랑공영차고지(07338),정릉초교(08259),정릉4동주민센터.경국사(08163),정릉꿈에그린1단지(08847),하이마트(08465),정릉4동주민센터.경국사(08163),무량사입구(09310),봉국사(08115),우이동성원아파트(09103),우이동성원아파트(09103),정릉4동주민센터.경국사(08163),서경대정문앞(08800),정릉초교(08259),정릉산장아파트(08161),한국지역난방공사(35160),서일대학교(07194),우이동성원아파트(09103),정릉산장아파트(08161),화계사입구.한신대학교대학원(09137),서울정인학교(09213),도봉고등학교(10154),우이동성원아파트(09103),우이동도선사입구(09102)
구세군강북종합사회복지관입구(09215),스카이힐스(08369),신내데시앙아파트후문(07435),정릉동풍림상가앞(08260),북한산보국문역2번출구(08408),아리랑시장(08844),해병대전우회(08479),북한산보국문역2번출구(08408),국립4.19민주묘지(09196),정릉2동주민센터(08117),진성빌라사거리(09105),진성빌라사거리(09105),북한산보국문역2번출구(08408),서경로꿈마루도서관앞(08250),정릉동풍림상가앞(08260),정릉4동주민센터.경국사(08163),은평뉴타운10단지(12010),혜원여중고후문(07233),진성빌라사거리(09105),정릉4동주민센터.경국사(08163),수유동삼양탕앞(09139),구세군강북종합사회복지관입구(09215),도봉동한신아파트(10103),쌍문동청한빌라(10200),우이동성원아파트(09103)
미양중고등학교.팔팔·미송경로당(09218),508단지장터앞(08370),서울의료원후문(07433),정릉동풍림아파트(08262),KEB.하나은행.정릉중앙지점(08165),정릉꿈에그린아파트(08842),고려대법과대학입구(08494),KEB.하나은행.정릉중앙지점(08165),국립4.19민주묘지입구사거리(09111),숭덕초교(08119),서라벌중학교.우이동대우아파트(09106),서라벌중학교.우이동대우아파트(09106),KEB.하나은행.정릉중앙지점(08165),길원초등학교입구(08251),정릉동풍림아파트(08262),북한산보국문역2번출구(08408),구파발역입구(12012),농협앞(07231),서라벌중학교.우이동대우아파트(09106),북한산보국문역2번출구(08408),화계사입구사거리(09141),미양중고등학교.팔팔·미송경로당(09218),서울북부지방법원.검찰청.도봉역성황당(10108),쌍문동우이빌라(10202),진성빌라사거리(09105)
삼각산동SK아파트북한산시티미양초등학교(09223),508단지입구(08368),봉화산역2번출구(07296),북한산보국문역2번출구(08408),정릉시장입구(08167),일신휴먼빌.우정아파트(08448),고려대안암학사(08507),정릉시장입구(08167),인수동장미원(09120),정릉길음시장(08121),덕성여대솔밭근린공원(09107),덕성여대솔밭근린공원(09107),정릉시장입구(08167),열매교회(08253),솔샘사거리(08324),KEB.하나은행.정릉중앙지점(08165),구파발역2번출구(12111),면목역(07229),덕성여대솔밭근린공원(09107),KEB.하나은행.정릉중앙지점(08165),화계사입구(09156),삼각산동SK아파트북한산시티미양초등학교(09223),국민은행도봉지점(10110),초당초등학교(10204),서라벌중학교.우이동대우아파트(09106)
SK아파트입구(09221),산장빌라(08358),지하철6호선화랑대역(07295),KEB.하나은행.정릉중앙지점(08165),정릉우체국앞(08169),돈암코오롱하늘채아파트(08850),고려대아이스링크(08522),정릉우체국앞(08169),가오리수유종합사회복지관(09122),미아리고개.미아리예술극장(08005),국립4.19민주묘지입구사거리(09108),국립4.19민주묘지입구사거리(09108),정릉우체국앞(08169),미화약국.길음뉴타운8단지(08381),삼덕단지앞(08322),정릉시장입구(08167),롯데캐슬823동앞(12429),면목복개천(07227),국립4.19민주묘지입구사거리(09108),정릉시장입구(08167),빨래골입구(09158),삼각산119안전센터(09307),천주교도봉동교회(10162),방학동우성아파트(10206),덕성여대솔밭근린공원(09107)
동북프라자(09219),우방아파트(08361),지하철6호선화랑대역(07294),정릉시장입구(08167),정릉입구(08263),돈암2동주민센터(08463),성북구의회(08539),숭덕초교(08119),우이초등학교(09134),돈암사거리.성신여대입구(08007),인수동장미원(09120),국립4.19민주묘지입구사거리(09110),숭덕초교(08119),정릉동동아아파트(08255),정릉3동주민센터앞(08320),정릉우체국앞(08169),진관중고교앞(12435),하나은행면목지점(07225),북부성모병원(09125),정릉우체국앞(08169),롯데마트삼양점.래미안1차아파트(09160),강북구보건소삼각산분소(09274),오봉초등학교(10164),쌍문동성원아파트(10210),국립4.19민주묘지입구사거리(09108)
삼양동사거리(09166),일신건영아파트.꿈에그린아파트(08364),태릉고등학교.원묵초등학교(07430),정릉우체국앞(08169),아리랑고개.아리랑시네미디어센터(08265),돈암지구대.현대아파트(08477),개운중학교(08554),정릉길음시장(08121),화계사입구(09156),삼선교.한성대학교(08009),가오리수유종합사회복지관(09122),국립419묘지삼거리.윤극영가옥(09112),정릉길음시장(08121),숭덕초교(08257),봉국사(08115),봉국사(08116),아이파크714동앞(12453),동서그랜드맨션(07223),수유2동주민센터우이시장(09126),숭덕초교(08119),삼양초등학교(09162),삼각산동삼각산아이원아파트정문(09295),방학2동공영주차장(10166),쌍문동한양.현대아파트(10212),인수동장미원(09120)
송천초등학교.미아뉴타운입구(09168),돈암동일신건영휴먼빌아파트(08330),신내4단지아파트(07292),정릉입구(08263),돈암2동주민센터입구.흥천사(08267),이수아파트.한신휴아파트입구(08492),풍림아파트.성신초교(08571),미아리고개.미아리예술극장(08005),빨래골입구(09158),혜화동로터리(01005),우이초등학교(09134),인수동백운교회입구(09114),길음시장(08245),숭덕초교(08119),정릉2동주민센터(08117),고려대사범대학부속고등학교(08114),아이파크701동앞(12431),면목5동(07221),광산사거리(09128),정릉길음시장(08121),강북청소년문화정보도서관입구(09164),삼각산동삼각산아이원아파트후문(09276),방학2동주민센터(10168),쌍문동삼익금호1차아파트(10214),가오리수유종합사회복지관(09122)
미아초교(08171),아리랑고개.아리랑시네미디어센터(08265),구립도서관체육관(07290),아리랑고개.아리랑시네미디어센터(08265),성신여대입구(08269),성신여대입구역(08505),풍림106동(08584),돈암사거리.성신여대입구(08007),롯데마트삼양점.래미안1차아파트(09160),명륜3가.성대입구(01003),화계사입구(09156),인수중학교(09116),길음역(08247),정릉길음시장(08121),숭덕초교(08119),청덕초교(08112),푸르지오604동앞(12455),면목2동한신아파트(07218),강북구청(09146),돈암동삼성아파트입구(08123),삼양동사거리(09166),삼각산고.래미안트리베라(09303),원약국(10181),도봉구보건소앞(10216),우이초등학교(09134)
