전철역명,정류장명,정류장ID
북한산우이,우이동,09500
북한산우이,우이동차고지종점,09294
북한산우이,우이동차고지기점,09289
북한산우이,우이동도선사입구,09102
북한산우이,우이동도선사입구,09101
북한산우이,우이동도선사입구,09297
북한산우이,우이동도선사입구,09286
북한산우이,성원아파트,09833
북한산우이,한국사회봉사회,10712
북한산우이,성원아파트,09507
북한산우이,우이동성원아파트,09103
북한산우이,우이동성원아파트,09104
솔밭공원,동아운수앞,10325
솔밭공원,진성빌라사거리,09105
솔밭공원,쌍문동청한빌라,10201
솔밭공원,청한빌라,10589
솔밭공원,쌍문동청한빌라,10200
솔밭공원,청한빌라,10790
솔밭공원,청한빌라,10512
솔밭공원,북서울교회,10218
솔밭공원,우이성당,10784
솔밭공원,우이성당,10517
솔밭공원,약초원.동아슈퍼,10780
솔밭공원,약초원.동아슈퍼,10834
솔밭공원,서라벌중학교.우이동대우아파트,10219
솔밭공원,서라벌중학교.우이동대우아파트,09106
4.19민주묘지,덕성여대솔밭근린공원,09107
4.19민주묘지,덕성여대입구,10221
4.19민주묘지,국립4.19민주묘지입구사거리,09109
4.19민주묘지,국립4.19민주묘지입구사거리,09108
4.19민주묘지,국립4.19민주묘지입구사거리,09110
4.19민주묘지,국립4.19민주묘지입구사거리,09111
4.19민주묘지,우이동주민센터입구,09278
4.19민주묘지,북부성모병원,09124
4.19민주묘지,북부성모병원,09125
가오리,인수동장미원,09120
가오리,인수동장미원,09121
가오리,가오리수유종합사회복지관,09122
가오리,가오리수유종합사회복지관,09123
가오리,가오리,09822
가오리,가오리,09597
가오리,강북구의회.강북문화예술회관,09829
가오리,강북구의회.강북문화예술회관,09591
가오리,벽산아파트,09682
가오리,벽산아파트,09815
화계,우이초등학교,09135
화계,우이초등학교,09134
화계,한신대학원.화계사,09814
화계,화계사입구.한신대학교대학원,09305
화계,화계사입구.종점,09291
화계,화계사입구.한신대학교대학원,09136
화계,한신대학원.화계사,09137
화계,화계사입구.한신대학교대학원,09573
화계,수유동삼양탕앞,09139
화계,삼양탕,09582
화계,수유동삼양탕앞,09138
화계,수유동삼양탕앞,09810
화계,화계사입구사거리,09140
화계,송암교회.화계사거리,09803
화계,화계사입구사거리,09141
화계,송암교회.화계사거리,09590
화계,강북노인종합복지관,09142
화계,화계유치원,09796
화계,강북노인종합복지관,09143
화계,화계유치원,09596
화계,화계유치원,09777
화계,화계유치원,09572
화계,국제가스.신일병원,09581
화계,신일병원,09145
화계,화계사입구,09157
화계,화계사입구,09156
화계,광성슈퍼,09783
화계,광성슈퍼,09564
화계,하나은행,09557
삼양,수유1동주민센터.파출소,09789
삼양,수유1동주민센터.파출소,09551
삼양,빨래골입구,09159
삼양,빨래골입구,09158
삼양,삼성의원,09795
삼양,강북삼성의원,09544
삼양,한빛맹아학교,09802
삼양,한빛맹아학교,09536
삼양,보람미용실,09532
삼양,보람미용실,09799
삼양,페리카나치킨,09792
삼양,페리카나치킨,09540
삼양,삼양시장,09786
삼양,삼양시장.롯데마트,09548
삼양,롯데마트삼양점.래미안1차아파트,09160
삼양,롯데마트삼양점.래미안1차아파트,09161
삼양,삼일약국.롯데마트,09780
삼양,삼양부동산,09554
삼양,훌랄라치킨,09775
삼양,삼양오거리,09561
삼양,강북반석교회,09769
삼양,구.삼양극장,09569
삼양사거리,삼양초등학교,09163
삼양사거리,삼양초등학교,09162
삼양사거리,강북청소년문화정보도서관입구,09164
삼양사거리,강북청소년문화정보도서관입구,09165
삼양사거리,삼양동사거리,09918
삼양사거리,삼양동사거리,09170
삼양사거리,삼양동사거리,09171
삼양사거리,삼양동사거리,09910
삼양사거리,삼양동사거리,09167
삼양사거리,삼양동사거리,09166
삼양사거리,삼성래미안아파트상가,09929
삼양사거리,성우아파트,09909
삼양사거리,동북시장,09220
삼양사거리,동북프라자,09921
삼양사거리,동북프라자,09219
성신여대입구,성신여대입구역,08269
성신여대입구,성신여대입구역,08505
성신여대입구,성신여대입구,08270
성신여대입구,성신여대입구,08882
정릉,일신휴먼빌.우정아파트,08448
정릉,일신휴먼빌.우정아파트,08848
정릉,아리랑고개.아리랑시네미디어센터,08266
정릉,아리랑고개.아리랑시네미디어센터,08905
정릉,아리랑고개.아리랑시네미디어센터,08265
정릉,우성 APT 정문,08913
정릉,우성 APT 정문,08767
정릉,정릉꿈에그린아파트,08842
정릉,정릉꿈에그린아파트,08840
정릉,일신건영아파트. 꿈에그린아파트,08363
정릉,일신건영아파트. 꿈에그린아파트,08364
정릉,돈암동일신건영휴먼빌아파트,08330
정릉,돈암동일신건영휴먼빌아파트,08366
정릉,정릉꿈에그린1단지,08847
정릉,중앙하이츠빌아파트,08845
정릉,중앙하이츠정문,08593
정릉,중앙하이츠정문,08471
정릉,아리랑시장,08843
정릉,아리랑시장,08844
정릉,정릉입구,08263
정릉,정릉입구,08264
정릉,숭덕초교,08119
정릉,숭덕초교,08257
정릉,숭덕초교,08120
정릉,정릉2동주민센터,08117
정릉,정릉2동주민센터,08456
정릉,정릉2동주민센터,08118
정릉,정릉우체국앞,08169
정릉,정릉우체국앞,08170
정릉,현대홈타운,08365
정릉,돈암힐스테이트,08898
정릉,정덕초둥학교,08795
정릉,돈암2동주민센터입구.흥천사/흥천사입구,08267
정릉,돈암2동주민센터입구.흥천사/흥천사입구,08814
정릉,이수아파트.한신휴아파트입구,08492
정릉,정덕초교입구.이수아파트,08537
정릉,흥천사입구,08890
정릉,돈암2동주민센터입구.흥천사,08268
정릉,정릉시장입구,08168
정릉,정릉시장입구,08758
정릉,정릉시장입구,08167
