전철역명,정류장명,정류장ID
성신여대입구,성신여대입구,8270
성신여대입구,성신여대입구,8882
성신여대입구,성신여대입구역,8269
성신여대입구,성신여대입구역,8505
성신여대입구,돈암사거리.성신여대입구,8007
성신여대입구,돈암사거리.성신여대입구,8008
성신여대입구,4호선성신여대역,8457
성신여대입구,돈암시장입구,8305
성신여대입구,돈암시장입구,8306
한성대입구,삼선교.성북문화원,8998
한성대입구,삼선교.성북문화원,8237
한성대입구,삼선교.성북문화원,8236
한성대입구,삼선교,8873
한성대입구,삼선교역2번출구,8718
한성대입구,한성대전철역입구,8534
한성대입구,삼선교제1시장,8721
길음,돈암동삼성아파트입구,8123
길음,길음역,8124
길음,길음역,8336
길음,길음역출구,8546
길음,길음역,8247
길음,길음역,8248
길음,길음역,8830
길음,길음전철역,8560
길음,길음전철역,8783
길음,길음뉴타운,8003
보문,보문역,8179
보문,보문역,8326
보문,보문역,8295
보문,보문역,8296
보문,보문역,8180
창신,종로센트레빌아파트,1563
창신,창신쌍용1단지.종로센트레빌아파트,1844
창신,쌍용아파트입구.창신역,1569
창신,숭인1동주민센터,1239
창신,창신역.4번출구,1838
창신,창신3동주민센터,1238
안암,안암전철역,8301
안암,안암전철역,8302
안암,안암역,8594
안암,개운사입구,8304
신설동,신설동역,6101
신설동,신설동역,6102
신설동,신설동역,6027
신설동,신설동역,6028
신설동,신설동역1번출구,6107
신설동,신설동역1번출구,6557
신설동,신설동로터리,1243
신설동,신설동로터리,71024
신설동,동대문우체국.서울풍물시장,6163
신설동,동대문우체국.서울풍물시장,75039
신설동,신설동역.서울풍물시장,6008
신설동,신설동역.서울풍물시장,75040
동묘앞,동묘역.롯데캐슬/종로구민회관숭인동,1240
동묘앞,동묘역.롯데캐슬/종로구민회관숭인동,1818
동묘앞,창신동두산아파트,1231
동묘앞,동묘역,1595
동묘앞,동대문,1234
동묘앞,동대문,71519
동묘앞,동묘앞,1041
동묘앞,동묘앞,1245
동묘앞,동묘앞(중),1044
동묘앞,동묘앞(중),71514
동묘앞,동묘역앞,1235
동묘앞,동묘역앞,1236
제기동,제기동역.서울약령시,6024
제기동,제기동역.서울약령시,6023
제기동,제기역약령시장,6105
제기동,제기역약령시장,6106
제기동,제기역약령시장,75057
